gene,gene_synonym
LOC105374080,LOC105374080
LOC105374081,LOC105374081
LOC105374083,LOC105374083
LOC105374085,LOC105374085
LOC105374088,LOC105374088
LOC105374089,LOC105374089
LOC105374090,LOC105374090
LOC105374094,LOC105374094
LOC105374096,LOC105374096
LOC105374101,LOC105374101
LOC105374102,LOC105374102
LOC105374103,LOC105374103
LOC105374106,LOC105374106
LOC105374107,LOC105374107
LOC105374108,LOC105374108
LOC105374110,LOC105374110
LOC105374111,LOC105374111
LOC105374113,LOC105374113
LOC105374114,LOC105374114
LOC105374115,LOC105374115
LOC105374116,LOC105374116
LOC105374117,LOC105374117
LOC105374118,LOC105374118
LOC105374120,LOC105374120
LOC105374121,LOC105374121
LOC105374122,LOC105374122
LOC105374123,LOC105374123
LOC105374124,LOC105374124
LOC105374126,LOC105374126
LOC105374127,LOC105374127
LOC105374128,LOC105374128
LOC105374129,LOC105374129
LOC105374132,LOC105374132
LOC105374134,LOC105374134
LOC105374136,LOC105374136
LOC105374137,LOC105374137
LOC105374138,LOC105374138
LOC105374139,LOC105374139
LOC105374140,LOC105374140
LOC105374141,LOC105374141
LOC105374142,LOC105374142
LOC105374143,LOC105374143
LOC105374144,LOC105374144
LOC105374145,LOC105374145
LOC105374147,LOC105374147
LOC105374148,LOC105374148
LOC105374150,LOC105374150
LOC105374151,LOC105374151
LOC105374152,LOC105374152
LOC105374153,LOC105374153
LOC105374154,LOC105374154
LOC105374155,LOC105374155
LOC105374157,LOC105374157
LOC105374159,LOC105374159
LOC105374160,LOC105374160
LOC105374162,LOC105374162
LOC105374163,LOC105374163
LOC105374164,LOC105374164
LOC105374166,LOC105374166
LOC105374167,LOC105374167
LOC105374170,LOC105374170
LOC105374171,LOC105374171
LOC105374172,LOC105374172
LOC105374174,LOC105374174
LOC105374179,LOC105374179
LOC105374181,LOC105374181
LOC105374186,LOC105374186
LOC105374187,LOC105374187
LOC105374188,LOC105374188
LOC105374189,LOC105374189
LOC105374190,LOC105374190
LOC105374191,LOC105374191
LOC105374192,LOC105374192
LOC105374193,LOC105374193
LOC105374195,LOC105374195
LOC105374196,LOC105374196
LOC105374197,LOC105374197
LOC105374200,LOC105374200
LOC105374205,LOC105374205
LOC105374206,LOC105374206
LOC105374209,LOC105374209
LOC105374211,LOC105374211
LOC105374216,LOC105374216
LOC105374217,LOC105374217
LOC105374218,LOC105374218
LOC105374220,LOC105374220
LOC105374221,LOC105374221
LOC105374224,LOC105374224
LOC105374225,LOC105374225
LOC105374226,LOC105374226
LOC105374229,LOC105374229
LOC105374230,LOC105374230
LOC105374234,LOC105374234
LOC105374235,LOC105374235
LOC105374240,LOC105374240
LOC105374242,LOC105374242
LOC105374243,LOC105374243
LOC105374245,LOC105374245
LOC105374246,LOC105374246
LOC105374247,LOC105374247
LOC105374248,LOC105374248
LOC105374249,LOC105374249
LOC105374252,LOC105374252
LOC105374253,LOC105374253
LOC105374254,LOC105374254
LOC105374257,LOC105374257
LOC105374258,LOC105374258
LOC105374259,LOC105374259
LOC105374260,LOC105374260
LOC105374262,LOC105374262
LOC105374263,LOC105374263
LOC105374264,LOC105374264
LOC105374265,LOC105374265
LOC105374270,LOC105374270
LOC105374275,LOC105374275
LOC105374276,LOC105374276
LOC105374277,LOC105374277
LOC105374280,LOC105374280
LOC105374282,LOC105374282
LOC105374283,LOC105374283
LOC105374284,LOC105374284
LOC105374286,LOC105374286
LOC105374287,LOC105374287
LOC105374291,LOC105374291
LOC105374292,LOC105374292
LOC105374294,LOC105374294
LOC105374295,LOC105374295
LOC105374296,LOC105374296
LOC105374297,LOC105374297
LOC105374298,LOC105374298
LOC105374299,LOC105374299
LOC105374301,LOC105374301
LOC105374303,LOC105374303
LOC105374304,LOC105374304
LOC105374306,LOC105374306
LOC105374307,LOC105374307
LOC105374308,LOC105374308
LOC105374309,LOC105374309
LOC105374310,LOC105374310
LOC105374312,LOC105374312
LOC105374313,LOC105374313
LOC105374314,LOC105374314
LOC105374317,LOC105374317
LOC105374318,LOC105374318
LOC105374320,LOC105374320
LOC105374323,LOC105374323
LOC105374325,LOC105374325
LOC105374328,LOC105374328
LOC105374329,LOC105374329
LOC105374332,LOC105374332
LOC105374333,LOC105374333
LOC105374334,LOC105374334
LOC105374336,LOC105374336
LOC105374338,LOC105374338
LOC105374339,LOC105374339
LOC105374340,LOC105374340
LOC105374341,LOC105374341
LOC105374343,LOC105374343
LOC105374344,LOC105374344
LOC105374346,LOC105374346
LOC105374347,LOC105374347
LOC105374348,LOC105374348
LOC105374349,LOC105374349
LOC105374352,LOC105374352
LOC105374353,LOC105374353
LOC105374354,LOC105374354
LOC105374355,LOC105374355
LOC105374357,LOC105374357
LOC105374358,LOC105374358
LOC105374359,LOC105374359
LOC105374362,LOC105374362
LOC105374363,LOC105374363
LOC105374364,LOC105374364
LOC105374365,LOC105374365
LOC105374367,LOC105374367
LOC105374368,LOC105374368
LOC105374369,LOC105374369
LOC105374370,LOC105374370
LOC105374371,LOC105374371
LOC105374373,LOC105374373
LOC105374376,LOC105374376
LOC105374378,LOC105374378
LOC105374381,LOC105374381
LOC105374382,LOC105374382
LOC105374383,LOC105374383
LOC105374384,LOC105374384
LOC105374386,LOC105374386
LOC105374389,LOC105374389
LOC105374391,LOC105374391
LOC105374392,LOC105374392
LOC105374396,LOC105374396
LOC105374397,LOC105374397
LOC105374399,LOC105374399
LOC105374402,LOC105374402
LOC105374404,LOC105374404
LOC105374406,LOC105374406
LOC105374407,LOC105374407
LOC105374408,LOC105374408
LOC105374409,LOC105374409
LOC105374412,LOC105374412
LOC105374413,LOC105374413
LOC105374414,LOC105374414
LOC105374418,LOC105374418
LOC105374419,LOC105374419
LOC105374421,LOC105374421
LOC105374423,LOC105374423
LOC105374425,LOC105374425
LOC105374426,LOC105374426
LOC105374428,LOC105374428
LOC105374430,LOC105374430
LOC105374432,LOC105374432
LOC105374433,LOC105374433
LOC105374434,LOC105374434
LOC105374435,LOC105374435
LOC105374438,LOC105374438
LOC105374439,LOC105374439
LOC105374440,LOC105374440
LOC105374441,LOC105374441
LOC105374442,LOC105374442
LOC105374443,LOC105374443
LOC105374444,LOC105374444
LOC105374445,LOC105374445
LOC105374453,LOC105374453
LOC105374454,LOC105374454
LOC105374455,LOC105374455
LOC105374456,LOC105374456
LOC105374457,LOC105374457
LOC105374458,LOC105374458
LOC105374459,LOC105374459
LOC105374461,LOC105374461
LOC105374464,LOC105374464
LOC105374465,LOC105374465
LOC105374466,LOC105374466
LOC105374467,LOC105374467
LOC105374468,LOC105374468
LOC105374470,LOC105374470
LOC105374471,LOC105374471
LOC105374473,LOC105374473
LOC105374474,LOC105374474
LOC105374475,LOC105374475
LOC105374476,LOC105374476
LOC105374478,LOC105374478
LOC105374479,LOC105374479
LOC105374480,LOC105374480
LOC105374481,LOC105374481
LOC105374482,LOC105374482
LOC105374483,LOC105374483
LOC105374488,LOC105374488
LOC105374489,LOC105374489
LOC105374490,LOC105374490
LOC105374491,LOC105374491
LOC105374492,LOC105374492
LOC105374493,LOC105374493
LOC105374494,LOC105374494
LOC105374495,LOC105374495
LOC105374496,LOC105374496
LOC105374497,LOC105374497
LOC105374498,LOC105374498
LOC105374501,LOC105374501
LOC105374502,LOC105374502
LOC105374505,LOC105374505
LOC105374506,LOC105374506
LOC105374507,LOC105374507
LOC105374510,LOC105374510
LOC105374511,LOC105374511
LOC105374513,LOC105374513
LOC105374514,LOC105374514
LOC105374515,LOC105374515
LOC105374516,LOC105374516
LOC105374517,LOC105374517
LOC105374519,LOC105374519
LOC105374520,LOC105374520
LOC105374521,LOC105374521
LOC105374523,LOC105374523
LOC105374524,LOC105374524
LOC105374525,LOC105374525
LOC105374527,LOC105374527
LOC105374528,LOC105374528
LOC105374531,LOC105374531
LOC105374534,LOC105374534
LOC105374535,LOC105374535
LOC105374536,LOC105374536
LOC105374537,LOC105374537
LOC105374538,LOC105374538
LOC105374541,LOC105374541
LOC105374542,LOC105374542
LOC105374545,LOC105374545
LOC105374547,LOC105374547
LOC105374548,LOC105374548
LOC105374549,LOC105374549
LOC105374550,LOC105374550
LOC105374552,LOC105374552
LOC105374553,LOC105374553
LOC105374555,LOC105374555
LOC105374556,LOC105374556
LOC105374557,LOC105374557
LOC105374558,LOC105374558
LOC105374559,LOC105374559
LOC105374562,LOC105374562
LOC105374564,LOC105374564
LOC105374566,LOC105374566
LOC105374567,LOC105374567
LOC105374568,LOC105374568
LOC105374570,LOC105374570
LOC105374571,LOC105374571
LOC105374573,LOC105374573
LOC105374576,LOC105374576
LOC105374577,LOC105374577
LOC105374580,LOC105374580
LOC105374581,LOC105374581
LOC105374584,LOC105374584
LOC105374588,LOC105374588
LOC105374589,LOC105374589
LOC105374590,LOC105374590
LOC105374591,LOC105374591
LOC105374592,LOC105374592
LOC105374593,LOC105374593
LOC105374594,LOC105374594
LOC105374595,LOC105374595
LOC105374597,LOC105374597
LOC105374598,LOC105374598
LOC105374600,LOC105374600
LOC105374601,LOC105374601
LOC105374602,LOC105374602
LOC105374606,LOC105374606
LOC105374607,LOC105374607
LOC105374608,LOC105374608
LOC105374610,LOC105374610
LOC105374612,LOC105374612
LOC105374614,LOC105374614
LOC105374615,LOC105374615
LOC105374616,LOC105374616
LOC105374618,LOC105374618
LOC105374620,LOC105374620
LOC105374621,LOC105374621
LOC105374625,LOC105374625
LOC105374626,LOC105374626
LOC105374629,LOC105374629
LOC105374630,LOC105374630
LOC105374634,LOC105374634
LOC105374636,LOC105374636
LOC105374639,LOC105374639
LOC105374640,LOC105374640
LOC105374641,LOC105374641
LOC105374642,LOC105374642
LOC105374643,LOC105374643
LOC105374645,LOC105374645
LOC105374646,LOC105374646
LOC105374647,LOC105374647
LOC105374649,LOC105374649
LOC105374651,LOC105374651
LOC105374652,LOC105374652
LOC105374653,LOC105374653
LOC105374654,LOC105374654
LOC105374655,LOC105374655
LOC105374656,LOC105374656
LOC105374657,LOC105374657
LOC105374659,LOC105374659
LOC105374660,LOC105374660
LOC105374661,LOC105374661
LOC105374662,LOC105374662
LOC105374663,LOC105374663
LOC105374664,LOC105374664
LOC105374666,LOC105374666
LOC105374668,LOC105374668
LOC105374669,LOC105374669
LOC105374672,LOC105374672
LOC105374673,LOC105374673
LOC105374674,LOC105374674
LOC105374678,LOC105374678
LOC105374681,LOC105374681
LOC105374682,LOC105374682
LOC105374683,LOC105374683
LOC105374685,LOC105374685
LOC105374686,LOC105374686
LOC105374687,LOC105374687
LOC105374688,LOC105374688
LOC105374689,LOC105374689
LOC105374690,LOC105374690
LOC105374695,LOC105374695
LOC105374696,LOC105374696
LOC105374697,LOC105374697
LOC105374699,LOC105374699
LOC105374701,LOC105374701
LOC105374702,LOC105374702
LOC105374703,LOC105374703
LOC105374704,LOC105374704
LOC105374705,LOC105374705
LOC105374706,LOC105374706
LOC105374707,LOC105374707
LOC105374709,LOC105374709
LOC105374711,LOC105374711
LOC105374715,LOC105374715
LOC105374717,LOC105374717
LOC105374719,LOC105374719
LOC105374721,LOC105374721
LOC105374723,LOC105374723
LOC105374724,LOC105374724
LOC105374726,LOC105374726
LOC105374727,LOC105374727
LOC105374730,LOC105374730
LOC105374732,LOC105374732
LOC105374733,LOC105374733
LOC105374735,LOC105374735
LOC105374736,LOC105374736
LOC105374737,LOC105374737
LOC105374739,LOC105374739
LOC105374740,LOC105374740
LOC105374745,LOC105374745
LOC105374746,LOC105374746
LOC105374748,LOC105374748
LOC105374754,LOC105374754
LOC105374758,LOC105374758
LOC105374759,LOC105374759
LOC105374760,LOC105374760
LOC105374761,LOC105374761
LOC105374764,LOC105374764
LOC105374768,LOC105374768
LOC105374769,LOC105374769
LGALSL-DT,LGALSL-DT
LOC105374772,LOC105374772
LOC105374773,LOC105374773
LOC105374775,LOC105374775
LOC105374776,LOC105374776
LOC105374777,LOC105374777
LOC105374780,LOC105374780
LOC105374781,LOC105374781
LOC105374785,LOC105374785
LOC105374786,LOC105374786
LOC105374789,LOC105374789
LOC105374790,LOC105374790
LOC105374792,LOC105374792
LOC105374794,LOC105374794
LOC105374795,LOC105374795
LOC105374796,LOC105374796
LOC105374797,LOC105374797
LOC105374798,LOC105374798
LOC105374800,LOC105374800
LOC105374802,LOC105374802
LOC105374803,LOC105374803
LOC105374804,LOC105374804
LOC105374807,LOC105374807
LOC105374808,LOC105374808
LOC105374809,LOC105374809
LOC105374810,LOC105374810
LOC105374811,LOC105374811
LOC105374812,LOC105374812
LOC105374813,LOC105374813
LOC105374814,LOC105374814
LOC105374815,LOC105374815
LOC105374816,LOC105374816
LOC105374817,LOC105374817
LOC105374819,LOC105374819
LOC105374820,LOC105374820
LOC105374821,LOC105374821
LOC105374822,LOC105374822
LOC105374823,LOC105374823
LOC105374824,LOC105374824
LOC105374827,LOC105374827
LOC105374828,LOC105374828
LOC105374829,LOC105374829
LOC105374831,LOC105374831
LOC105374832,LOC105374832
LOC105374833,LOC105374833
LOC105374834,LOC105374834
LOC105374836,LOC105374836
LOC105374837,LOC105374837
LOC105374838,LOC105374838
LOC105374839,LOC105374839
LOC105374841,LOC105374841
LOC105374842,LOC105374842
LOC105374843,LOC105374843
LOC105374845,LOC105374845
LOC105374846,LOC105374846
LOC105374848,LOC105374848
LOC105374851,LOC105374851
LOC105374852,LOC105374852
LOC105374853,LOC105374853
LOC105374854,LOC105374854
LOC105374855,LOC105374855
LOC105374857,LOC105374857
LOC105374858,LOC105374858
LOC105374859,LOC105374859
LOC105374862,LOC105374862
LOC105374866,LOC105374866
LOC105374868,LOC105374868
LOC105374869,LOC105374869
LOC105374870,LOC105374870
LOC105374873,LOC105374873
LOC105374875,LOC105374875
LOC105374879,LOC105374879
LOC105374880,LOC105374880
LOC105374882,LOC105374882
LOC105374883,LOC105374883
LOC105374887,LOC105374887
LOC105374888,LOC105374888
LOC105374889,LOC105374889
LOC105374890,LOC105374890
LOC105374893,LOC105374893
LOC105374894,LOC105374894
LOC105374897,LOC105374897
LOC105374898,LOC105374898
LOC105374901,LOC105374901
LOC105374902,LOC105374902
LOC105374903,LOC105374903
LOC105374904,LOC105374904
LOC105374906,LOC105374906
LOC105374907,LOC105374907
LOC105374910,LOC105374910
LOC105374911,LOC105374911
LOC105374912,LOC105374912
LOC105374913,LOC105374913
LOC105374914,LOC105374914
LOC105374918,LOC105374918
LOC105374919,LOC105374919
LOC105374920,LOC105374920
LOC105374921,LOC105374921
LOC105374923,LOC105374923
LOC105374924,LOC105374924
LOC105374925,LOC105374925
LOC105374927,LOC105374927
LOC105374928,LOC105374928
LOC105374929,LOC105374929
LOC105374931,LOC105374931
LOC105374933,LOC105374933
LOC105374934,LOC105374934
LOC105374935,LOC105374935
LOC105374936,LOC105374936
LOC105374937,LOC105374937
LOC105374938,LOC105374938
LOC105374939,LOC105374939
LOC105374940,LOC105374940
LOC105374942,LOC105374942
LOC105374943,LOC105374943
LOC105374944,LOC105374944
LOC105374945,LOC105374945
LOC105374946,LOC105374946
LOC105374947,LOC105374947
LOC105374948,LOC105374948
LOC105374949,LOC105374949
LOC105374951,LOC105374951
LOC105374952,LOC105374952
LOC105374953,LOC105374953
LOC105374955,LOC105374955
MIR548A1HG,MIR548A1HG
LOC105374957,LOC105374957
LOC105374958,LOC105374958
LOC105374959,LOC105374959
LOC105374960,LOC105374960
LOC105374961,LOC105374961
LOC105374963,LOC105374963
LOC105374965,LOC105374965
LOC105374966,LOC105374966
LOC105374968,LOC105374968
LOC105374970,LOC105374970
LOC105374971,LOC105374971
LOC105374972,LOC105374972
LOC105374973,LOC105374973
LOC105374974,LOC105374974
LOC105374975,LOC105374975
LOC105374976,LOC105374976
LOC105374981,LOC105374981
LOC105374985,LOC105374985
LOC105374986,LOC105374986
LOC105374988,LOC105374988
LOC105374989,LOC105374989
LOC105374991,LOC105374991
LOC105374992,LOC105374992
LOC105374995,LOC105374995
LOC105374996,LOC105374996
LOC105374997,LOC105374997
LOC105374998,LOC105374998
LOC105375001,LOC105375001
LOC105375002,LOC105375002
LOC105375003,LOC105375003
LOC105375005,LOC105375005
LOC105375006,LOC105375006
LOC105375008,LOC105375008
LOC105375010,LOC105375010
LOC105375012,LOC105375012
LOC105375018,LOC105375018
LOC105375019,LOC105375019
LOC105375020,LOC105375020
LOC105375021,LOC105375021
LOC105375022,LOC105375022
LOC105375023,LOC105375023
LOC105375024,LOC105375024
LOC105375025,LOC105375025
LOC105375026,LOC105375026
LOC105375027,LOC105375027
LOC105375028,LOC105375028
LOC105375034,LOC105375034
LOC105375035,LOC105375035
LOC105375036,LOC105375036
LOC105375038,LOC105375038
LOC105375040,LOC105375040
LOC105375044,LOC105375044
LOC105375045,LOC105375045
LOC105375046,LOC105375046
LOC105375047,LOC105375047
LOC105375049,LOC105375049
LOC105375050,LOC105375050
LOC105375051,LOC105375051
LOC105375052,LOC105375052
LOC105375053,LOC105375053
LOC105375055,LOC105375055
LOC105375056,LOC105375056
LOC105375059,LOC105375059
LOC105375060,LOC105375060
LOC105375061,LOC105375061
LOC105375063,LOC105375063
LOC105375064,LOC105375064
LOC105375065,LOC105375065
LOC105375067,LOC105375067
LOC105375068,LOC105375068
LOC105375069,LOC105375069
LOC105375070,LOC105375070
LOC105375072,LOC105375072
LOC105375074,LOC105375074
LOC105375075,LOC105375075
LOC105375078,LOC105375078
LOC105375079,LOC105375079
LOC105375080,LOC105375080
LOC105375081,LOC105375081
LOC105375082,LOC105375082
LOC105375084,LOC105375084
LOC105375085,LOC105375085
LOC105375087,LOC105375087
LOC105375091,LOC105375091
LOC105375095,LOC105375095
LOC105375097,LOC105375097
LOC105375098,LOC105375098
LOC105375100,LOC105375100
LOC105375101,LOC105375101
LOC105375102,LOC105375102
LOC105375103,LOC105375103
LOC105375106,LOC105375106
LOC105375107,LOC105375107
LOC105375112,LOC105375112
LOC105375113,LOC105375113
LOC105375114,LOC105375114
LOC105375115,LOC105375115
LOC105375116,LOC105375116
LOC105375118,LOC105375118
LOC105375119,LOC105375119
LOC105375120,LOC105375120
LOC105375122,LOC105375122
LOC105375123,LOC105375123
LOC105375124,LOC105375124
LOC105375126,LOC105375126
LOC105375127,LOC105375127
LOC105375128,LOC105375128
LOC105375130,LOC105375130
LOC105375131,LOC105375131
LOC105375132,LOC105375132
LOC105375133,LOC105375133
LOC105375134,LOC105375134
LOC105375138,LOC105375138
LOC105375142,LOC105375142
LOC105375144,LOC105375144
LOC105375145,LOC105375145
LOC105375146,LOC105375146
LOC105375147,LOC105375147
LOC105375148,LOC105375148
LOC105375149,LOC105375149
LOC105375150,LOC105375150
LOC105375151,LOC105375151
LOC105375153,LOC105375153
LOC105375154,LOC105375154
LOC105375155,LOC105375155
LOC105375156,LOC105375156
LOC105375157,LOC105375157
LOC105375158,LOC105375158
LOC105375161,LOC105375161
LOC105375162,LOC105375162
LOC105375164,LOC105375164
LOC105375166,LOC105375166
LOC105375167,LOC105375167
LOC105375168,LOC105375168
LOC105375169,LOC105375169
LOC105375170,LOC105375170
LOC105375171,LOC105375171
LOC105375172,LOC105375172
LOC105375179,LOC105375179
LOC105375180,LOC105375180
LOC105375181,LOC105375181
LOC105375183,LOC105375183
LOC105375184,LOC105375184
LOC105375185,LOC105375185
LOC105375186,LOC105375186
LOC105375187,LOC105375187
LOC105375188,LOC105375188
LOC105375191,LOC105375191
LOC105375193,LOC105375193
LOC105375194,LOC105375194
LOC105375195,LOC105375195
LOC105375196,LOC105375196
LOC105375198,LOC105375198
LOC105375199,LOC105375199
LOC105375200,LOC105375200
LOC105375202,LOC105375202
LOC105375206,LOC105375206
LOC105375207,LOC105375207
LOC105375208,LOC105375208
LOC105375210,LOC105375210
LOC105375211,LOC105375211
LOC105375213,LOC105375213
LOC105375215,LOC105375215
LOC105375216,LOC105375216
LOC105375217,LOC105375217
LOC105375218,LOC105375218
LOC105375219,LOC105375219
LOC105375220,LOC105375220
LOC105375221,LOC105375221
LOC105375222,LOC105375222
LOC105375224,LOC105375224
LOC105375228,LOC105375228
LOC105375230,LOC105375230
LOC105375231,LOC105375231
LOC105375233,LOC105375233
LOC105375235,LOC105375235
LOC105375236,LOC105375236
LOC105375237,LOC105375237
LOC105375238,LOC105375238
LOC105375239,LOC105375239
LOC105375240,LOC105375240
LOC105375241,LOC105375241
LOC105375242,LOC105375242
LOC105375243,LOC105375243
LOC105375244,LOC105375244
LOC105375245,LOC105375245
LOC105375246,LOC105375246
LOC105375247,LOC105375247
LOC105375248,LOC105375248
LOC105375249,LOC105375249
LOC105375250,LOC105375250
LOC105375251,LOC105375251
LOC105375252,LOC105375252
LOC105375253,LOC105375253
LOC105375257,LOC105375257
LOC105375258,LOC105375258
LOC105375259,LOC105375259
LOC105375260,LOC105375260
LOC105375262,LOC105375262
LOC105375264,LOC105375264
LOC105375265,LOC105375265
LOC105375266,LOC105375266
LOC105375267,LOC105375267
LOC105375268,LOC105375268
LOC105375270,LOC105375270
LOC105375271,LOC105375271
LOC105375272,LOC105375272
LOC105375277,LOC105375277
LOC105375278,LOC105375278
LOC105375282,LOC105375282
LOC105375284,LOC105375284
LOC105375287,LOC105375287
LOC105375288,LOC105375288
LOC105375289,LOC105375289
LOC105375291,LOC105375291
LOC105375292,LOC105375292
LOC105375294,LOC105375294
LOC105375295,LOC105375295
LOC105375296,LOC105375296
LOC105375297,LOC105375297
LOC105375298,LOC105375298
LOC105375299,LOC105375299
LOC105375300,LOC105375300
LOC105375301,LOC105375301
LOC105375302,LOC105375302
LOC105375303,LOC105375303
LOC105375304,LOC105375304
LOC105375310,LOC105375310
LOC105375311,LOC105375311
LOC105375313,LOC105375313
LOC105375314,LOC105375314
LOC105375315,LOC105375315
LOC105375317,LOC105375317
LOC105375318,LOC105375318
LOC105375319,LOC105375319
LOC105375321,LOC105375321
LOC105375322,LOC105375322
LOC105375323,LOC105375323
LOC105375324,LOC105375324
LOC105375326,LOC105375326
LOC105375328,LOC105375328
LOC105375329,LOC105375329
LOC105375330,LOC105375330
LOC105375333,LOC105375333
LOC105375334,LOC105375334
LOC105375336,LOC105375336
LOC105375337,LOC105375337
LOC105375340,LOC105375340
LOC105375341,LOC105375341
LOC105375342,LOC105375342
LOC105375343,LOC105375343
LOC105375344,LOC105375344
LOC105375345,LOC105375345
LOC105375346,LOC105375346
LOC105375347,LOC105375347
LOC105375350,LOC105375350
LOC105375352,LOC105375352
LOC105375356,LOC105375356
LOC105375358,LOC105375358
LOC105375359,LOC105375359
LOC105375361,LOC105375361
LOC105375363,LOC105375363
LOC105375366,LOC105375366
LOC105375368,LOC105375368
LOC105375369,LOC105375369
LOC105375370,LOC105375370
LOC105375371,LOC105375371
LOC105375372,LOC105375372
LOC105375373,LOC105375373
LOC105375376,LOC105375376
LOC105375377,LOC105375377
LOC105375378,LOC105375378
LOC105375382,LOC105375382
LOC105375384,LOC105375384
LOC105375386,LOC105375386
LOC105375387,LOC105375387
LOC105375392,LOC105375392
LOC105375397,LOC105375397
LOC105375400,LOC105375400
LOC105375401,LOC105375401
LOC105375402,LOC105375402
LOC105375404,LOC105375404
LOC105375405,LOC105375405
LOC105375409,LOC105375409
LOC105375410,LOC105375410
LOC105375411,LOC105375411
LOC105375412,LOC105375412
LOC105375414,LOC105375414
LOC105375416,LOC105375416
LOC105375417,LOC105375417
LOC105375418,LOC105375418
LOC105375419,LOC105375419
LOC105375421,LOC105375421
LOC105375422,LOC105375422
LOC105375423,LOC105375423
LOC105375426,LOC105375426
LOC105375427,LOC105375427
LOC105375429,LOC105375429
LOC105375431,LOC105375431
LOC105375433,LOC105375433
LOC105375434,LOC105375434
LOC105375435,LOC105375435
LOC105375436,LOC105375436
LOC105375440,LOC105375440
LOC105375441,LOC105375441
LOC105375443,LOC105375443
LOC105375444,LOC105375444
LOC105375445,LOC105375445
LOC105375446,LOC105375446
LOC105375448,LOC105375448
LOC105375450,LOC105375450
LOC105375451,LOC105375451
LOC105375452,LOC105375452
LOC105375456,LOC105375456
LOC105375457,LOC105375457
LOC105375461,LOC105375461
LOC105375462,LOC105375462
LOC105375463,LOC105375463
LOC105375465,LOC105375465
LOC105375466,LOC105375466
LOC105375467,LOC105375467
LOC105375468,LOC105375468
LOC105375469,LOC105375469
LOC105375470,LOC105375470
LOC105375471,LOC105375471
LOC105375472,LOC105375472
LOC105375473,LOC105375473
LOC105375477,LOC105375477
LOC105375478,LOC105375478
LOC105375481,LOC105375481
LOC105375482,LOC105375482
LOC105375483,LOC105375483
LOC105375484,LOC105375484
LOC105375487,LOC105375487
LOC105375488,LOC105375488
LOC105375489,LOC105375489
LOC105375490,LOC105375490
LOC105375492,LOC105375492
LOC105375493,LOC105375493
LOC105375494,LOC105375494
LOC105375497,LOC105375497
LOC105375500,LOC105375500
LOC105375501,LOC105375501
LOC105375503,LOC105375503
LOC105375504,LOC105375504
LOC105375505,LOC105375505
LOC105375508,LOC105375508
LOC105375509,LOC105375509
LOC105375511,LOC105375511
LOC105375512,LOC105375512
LOC105375513,LOC105375513
LOC105375514,LOC105375514
LOC105375517,LOC105375517
LOC105375518,LOC105375518
LOC105375519,LOC105375519
LOC105375520,LOC105375520
LOC105375521,LOC105375521
LOC105375522,LOC105375522
LOC105375523,LOC105375523
LOC105375524,LOC105375524
LOC105375525,LOC105375525
LOC105375527,LOC105375527
LOC105375530,LOC105375530
LOC105375532,LOC105375532
LOC105375534,LOC105375534
LOC105375535,LOC105375535
LOC105375536,LOC105375536
LOC105375537,LOC105375537
LOC105375538,LOC105375538
LOC105375539,LOC105375539
LOC105375541,LOC105375541
LOC105375542,LOC105375542
LOC105375543,LOC105375543
LOC105375544,LOC105375544
LOC105375545,LOC105375545
LOC105375546,LOC105375546
LOC105375547,LOC105375547
LOC105375548,LOC105375548
LOC105375549,LOC105375549
LOC105375551,LOC105375551
LOC105375552,LOC105375552
LOC105375553,LOC105375553
LOC105375554,LOC105375554
LOC105375556,LOC105375556
LOC105375557,LOC105375557
LOC105375559,LOC105375559
LOC105375560,LOC105375560
LOC105375563,LOC105375563
LOC105375564,LOC105375564
LOC105375566,LOC105375566
LOC105375567,LOC105375567
LOC105375570,LOC105375570
LOC105375571,LOC105375571
LOC105375574,LOC105375574
LOC105375577,LOC105375577
LOC105375578,LOC105375578
LOC105375579,LOC105375579
LOC105375580,LOC105375580
LOC105375581,LOC105375581
LOC105375582,LOC105375582
LOC105375584,LOC105375584
LOC105375586,LOC105375586
LOC105375587,LOC105375587
LOC105375588,LOC105375588
LOC105375589,LOC105375589
LOC105375591,LOC105375591
LOC105375592,LOC105375592
LOC105375593,LOC105375593
LOC105375594,LOC105375594
LOC105375597,LOC105375597
LOC105375599,LOC105375599
LOC105375601,LOC105375601
LOC105375602,LOC105375602
LOC105375603,LOC105375603
LOC105375604,LOC105375604
LOC105375605,LOC105375605
LOC105375607,LOC105375607
LOC105375610,LOC105375610
LOC105375613,LOC105375613
LOC105375614,LOC105375614
LOC105375615,LOC105375615
LOC105375623,LOC105375623
LOC105375624,LOC105375624
LOC105375626,LOC105375626
LOC105375628,LOC105375628
LOC105375629,LOC105375629
LOC105375630,LOC105375630
LOC105375631,LOC105375631
LOC105375633,LOC105375633
LOC105375634,LOC105375634
LOC105375635,LOC105375635
LOC105375637,LOC105375637
LOC105375638,LOC105375638
LOC105375639,LOC105375639
LOC105375641,LOC105375641
LOC105375642,LOC105375642
LOC105375643,LOC105375643
LOC105375644,LOC105375644
LOC105375645,LOC105375645
LOC105375646,LOC105375646
LOC105375647,LOC105375647
LOC105375648,LOC105375648
MIR3150BHG,MIR3150BHG
LOC105375652,LOC105375652
LOC105375653,LOC105375653
LOC105375655,LOC105375655
LOC105375657,LOC105375657
LOC105375659,LOC105375659
LOC105375660,LOC105375660
LOC105375668,LOC105375668
LOC105375669,LOC105375669
LOC105375670,LOC105375670
LOC105375671,LOC105375671
